HR,Height,Sex,Handedness,WidthRightThumb,EyeColor
89,63,F,L,20,GRN
82,66,F,R,18,GRN
80,69,M,R,17,BRN
68,67.5,M,L,20,BRN
64,66,F,R,21,BRN
74,64,F,R,17,HZL
76,71,M,R,25,BRN
48,75,M,R,20,BLU
56,60,F,R,16,BRN
60,71,M,R,22,BRN
64,67,M,R,18,BRN
70,64,F,R,20,BRN
48,66,F,R,18,BRN
84,65,F,R,15,HZL
70,61,F,R,20,BRN
70,65,F,R,11,OTH
74,69,M,R,17,BRN
72,71,M,R,23,BLU
58,66,M,R,23,BRN
78,65,F,R,17,BRN
62,69,F,R,19,BLU
62,72,M,R,22,BRN
80,67,F,R,20,BRN
62,63,F,R,15,BRN
76,64,F,R,14,BRN
70,70,M,R,20,BRN
76,72,M,R,22,HZL
44,66,F,R,13,BRN
62,71,M,R,23,HZL
88,68,F,R,15,BLU
78,65,F,R,21,BRN
92,70,F,R,17,BRN
116,69,M,R,15,BRN
84,66,F,R,2,BRN
100,66,F,R,16.5,OTH
68,69,M,R,20,BLU
52,70,M,R,20,BRN
84,63,F,R,14.5,GRN
68,63,F,R,18,BLU
80,65,F,R,18,BRN
56,71,M,R,15,BRN
52,67,F,R,19,BLU
72,68,M,R,17,BRN
84,63,F,R,15,BLU
72,60,F,R,16,BRN
76,63,F,L,16,BRN
93,68,M,R,22,BRN
88,62,F,R,13,BRN
60,63,F,R,15,BRN
68,66,F,L,12,BLU
56,72,M,R,25,BRN
84,72,M,R,20,HZL
68,65,F,R,14,BRN
88,60,F,R,15,BRN
64,67,M,R,52,BRN
72,70,F,R,15,GRN